,Dates,Volume,year
0,2002-10-15,923.7532077474531,2002
1,2003-05-15,802.7998849660521,2003
2,2003-06-15,937.3327862909448,2003
3,2003-07-15,788.3294562950887,2003
4,2003-08-15,810.8412205524097,2003
5,2003-09-15,907.5473897173777,2003
6,2003-10-15,824.9816574811312,2003
7,2004-05-15,899.5477862879478,2004
8,2004-06-15,723.7485678784307,2004
9,2004-07-15,892.0355751419002,2004
10,2004-08-15,871.9450738656311,2004
11,2004-09-15,996.9618998031083,2004
12,2004-10-15,1103.6223597148398,2004
13,2005-05-15,1126.9540188853207,2005
14,2005-06-15,919.597021138809,2005
15,2005-07-15,857.1944153199446,2005
16,2005-08-15,853.3893385151341,2005
17,2005-09-15,,2005
18,2005-10-15,,2005
19,2006-05-15,,2006
20,2006-06-15,,2006
21,2006-07-15,,2006
22,2006-08-15,,2006
23,2006-09-15,,2006
24,2006-10-15,,2006
25,2007-05-15,,2007
26,2007-06-15,,2007
27,2007-07-15,,2007
28,2007-08-15,,2007
29,2007-09-15,,2007
30,2007-10-15,,2007
31,2008-05-15,,2008
32,2008-06-15,,2008
33,2008-07-15,,2008
34,2008-08-15,,2008
35,2008-09-15,,2008
36,2008-10-15,,2008
37,2009-05-15,,2009
38,2009-06-15,,2009
39,2009-07-15,,2009
40,2009-08-15,,2009
41,2009-09-15,,2009
42,2009-10-15,,2009
43,2010-05-15,,2010
44,2010-06-15,,2010
45,2010-07-15,,2010
46,2010-08-15,,2010
47,2010-09-15,,2010
48,2010-10-15,,2010
49,2011-05-15,,2011
50,2011-06-15,,2011
51,2011-07-15,,2011
52,2011-08-15,,2011
53,2011-09-15,,2011
54,2011-10-15,,2011
55,2012-05-15,,2012
56,2012-06-15,,2012
57,2012-07-15,,2012
58,2012-08-15,,2012
59,2012-09-15,,2012
60,2012-10-15,,2012
61,2013-05-15,,2013
62,2013-06-15,,2013
63,2013-07-15,,2013
64,2013-08-15,,2013
65,2013-09-15,,2013
66,2013-10-15,,2013
67,2014-05-15,,2014
68,2014-06-15,,2014
69,2014-07-15,,2014
70,2014-08-15,,2014
71,2014-09-15,,2014
72,2014-10-15,,2014
73,2015-05-15,,2015
74,2015-06-15,,2015
75,2015-07-15,,2015
76,2015-08-15,,2015
77,2015-09-15,,2015
78,2015-10-15,,2015
79,2016-05-15,,2016
80,2016-06-15,,2016
81,2016-07-15,,2016
82,2016-08-15,,2016
83,2016-09-15,,2016
84,2016-10-15,,2016
85,2017-05-15,,2017
86,2017-06-15,,2017
87,2017-07-15,,2017
88,2017-08-15,,2017
89,2017-09-15,,2017
90,2017-10-15,,2017
91,2018-05-15,,2018
92,2018-06-15,,2018
93,2018-07-15,,2018
94,2018-08-15,,2018
95,2018-09-15,,2018
96,2018-10-15,,2018
